Age,Gender,Country,City_Tier,Monthly_Income,Occupation,Fitness_Enthusiast,Shoes_Per_Year,Preferred_Shoe_Types,Interested_in_Customization,Preferred_Customization_Level,Interest_AI_Style_Advisor,Interest_AR_TryOn,Interest_Limited_Edition,Interest_Eco_Friendly,Interest_Single_Pair_Manufacturing,Preferred_Materials,Willing_to_Pay_More_for_Sustainable,Max_Price_Willing_to_Pay,Difficulty_in_Finding_Size,Shoe_Size,Likelihood_to_Use_App,Purchased_Custom_Before,Importance_Brand,Importance_Comfort,Importance_Design,Importance_Price,Importance_Uniqueness,Try_on_Recommendation_By_Friend,Frustration_With_Online_Shoe_Buying,Buy_if_AR_Visualization,Participate_in_Design_Contests,App_Try_Timeline
27,Male,UK,Tier 3,1772.83,Professional,No,7,"Sneakers, Sports",Yes,Full Design,1,2,3,4,5,Canvas,Yes,143.46,Yes,8.0,3,Yes,3,3,4,5,5,Yes,Poor product information,Yes,Yes,Immediately
26,Female,UAE,Tier 1,3237.43,Professional,No,3,"Casual, Ethnic",No,Sole type,4,4,5,2,1,"Canvas, Vegan, Leather",Yes,89.24,Yes,6.7,4,Yes,5,5,4,5,1,No,Size mismatch,Yes,Yes,Immediately
24,Male,USA,Tier 1,2842.01,Professional,Yes,3,"Slippers, Sneakers, Formal",No,Color only,4,1,3,4,3,Knit,Yes,124.51,Yes,10.3,2,Yes,3,4,4,5,3,Yes,Poor product information,Yes,Yes,Immediately
44,Prefer not to say,India,Tier 3,1675.47,Professional,Yes,6,"Formal, Boots",Yes,Sole type,2,4,3,3,2,Vegan,No,72.18,No,9.7,2,No,1,3,2,3,1,Maybe,Poor product information,Yes,Yes,Never
33,Female,USA,Tier 1,317.39,Self-employed,Yes,5,"Sports, Sneakers, Boots",Yes,Color only,1,1,4,2,4,"Canvas, Vegan, Leather",No,93.5,Yes,9.4,4,Yes,1,1,4,4,2,No,Long delivery time,Yes,Yes,Immediately
19,Female,India,Tier 1,378.85,Student,Yes,3,"Ethnic, Sports, Slippers",Yes,Full Design,1,2,5,2,2,Vegan,No,116.71,No,9.6,1,No,3,5,2,5,5,Maybe,Size mismatch,Yes,Yes,Within 3 months
37,Female,USA,Tier 1,275.85,Professional,Yes,3,"Sneakers, Formal, Slippers",Yes,Full Design,5,3,3,3,1,Leather,Yes,192.59,No,8.0,1,No,2,3,5,4,4,Yes,Long delivery time,No,Yes,Within a month
46,Male,USA,Tier 1,646.56,Professional,Yes,5,Sports,Yes,Sole type,2,5,1,5,1,Knit,No,124.03,No,7.5,1,Yes,2,5,2,4,2,Yes,Generic design,Yes,No,Within a month
38,Female,India,Tier 2,418.69,Entrepreneur,Yes,3,"Sneakers, Casual",Yes,Sole type,1,1,5,4,1,"Knit, Canvas",Yes,186.19,No,9.1,1,Yes,5,5,4,1,1,No,Size mismatch,Yes,Yes,Immediately
17,Prefer not to say,India,Tier 3,651.76,Self-employed,Yes,1,Sneakers,Yes,Material,3,2,4,4,5,"Canvas, Recyclable materials",Yes,128.81,No,10.7,5,Yes,3,4,3,4,5,Yes,Size mismatch,Yes,Yes,Immediately
26,Female,India,Tier 1,929.34,Student,Yes,5,"Casual, Sneakers",No,Material,4,5,5,3,1,Recyclable materials,Yes,104.52,No,11.4,4,Yes,4,2,3,4,3,Maybe,Long delivery time,Yes,Yes,Immediately
40,Female,UAE,Tier 2,4496.6,Student,Yes,7,"Slippers, Sneakers",No,Full Design,4,1,1,1,5,"Leather, Canvas, Vegan",Yes,181.57,No,10.2,2,Yes,4,1,3,5,5,Yes,Size mismatch,Yes,Yes,Within a month
24,Female,Other,Tier 2,1613.86,Self-employed,Yes,3,"Slippers, Sports",Yes,Color only,1,4,5,4,5,"Canvas, Recyclable materials",Yes,137.48,Yes,9.0,4,No,4,5,5,3,4,Yes,Size mismatch,Yes,No,Within 3 months
33,Male,India,Tier 1,2902.48,Professional,No,1,"Sports, Ethnic",Yes,Material,2,2,2,2,5,"Recyclable materials, Vegan",Yes,94.29,Yes,9.4,2,No,3,4,5,4,4,Maybe,Poor product information,Yes,Yes,Never
36,Male,Other,Tier 2,2058.63,Professional,No,4,"Sports, Casual, Formal",Yes,Material,1,3,3,2,1,Leather,No,138.82,No,9.0,1,Yes,2,4,2,3,2,Maybe,Poor product information,Yes,Yes,Immediately
22,Female,USA,Tier 1,379.03,Professional,Yes,4,"Sports, Ethnic, Slippers",Yes,Full Design,4,1,4,3,1,Canvas,Yes,108.3,No,7.5,5,No,3,4,3,5,4,Yes,Poor product information,Yes,Yes,Within a month
29,Male,India,Tier 1,2197.26,Professional,Yes,8,Formal,No,Material,1,3,1,4,1,Recyclable materials,No,40.44,Yes,9.0,3,Yes,2,1,4,5,3,Maybe,None of the above,Yes,No,Within a month
13,Female,India,Tier 1,682.58,Self-employed,No,3,Slippers,Yes,Full Design,4,2,1,4,3,"Vegan, Knit, Canvas",Yes,157.44,No,7.0,3,No,2,2,5,5,4,No,Long delivery time,Yes,Yes,Immediately
21,Other,USA,Tier 1,1728.76,Other,No,4,Boots,Yes,Color only,2,1,4,1,4,"Canvas, Recyclable materials",Yes,163.8,No,8.8,1,No,1,1,3,2,4,No,Long delivery time,Yes,Yes,Immediately
27,Male,UK,Tier 1,825.46,Entrepreneur,Yes,4,Formal,No,Material,1,2,2,1,1,"Leather, Canvas",Yes,193.52,Yes,11.5,1,No,2,4,5,3,5,Yes,Poor product information,Yes,Yes,Within 3 months
20,Male,UK,Tier 3,9294.29,Professional,Yes,8,Sneakers,No,Full Design,5,1,1,2,1,"Recyclable materials, Knit, Vegan",No,136.89,No,10.2,4,Yes,2,3,4,4,3,Yes,None of the above,Yes,Yes,Immediately
43,Female,India,Tier 1,658.87,Self-employed,Yes,3,"Sports, Boots, Formal",No,Material,3,1,5,4,2,Knit,Yes,110.05,Yes,7.6,5,No,5,3,5,3,5,Maybe,Generic design,No,Yes,Within 3 months
18,Male,India,Tier 1,690.95,Student,Yes,2,"Ethnic, Casual",Yes,Sole type,3,4,3,2,5,Recyclable materials,Yes,153.4,No,8.9,5,No,1,3,5,2,2,Yes,Long delivery time,Yes,Yes,Immediately
26,Female,USA,Tier 1,4203.37,Professional,Yes,3,"Formal, Boots",Yes,Color only,2,3,3,2,1,"Recyclable materials, Canvas, Knit",Yes,153.99,No,7.7,4,Yes,3,3,4,5,3,Yes,Generic design,Yes,Yes,Immediately
31,Male,India,Tier 2,237.43,Self-employed,Yes,5,"Ethnic, Slippers, Sports",Yes,Color only,2,5,2,4,1,"Knit, Leather",Yes,185.53,No,8.9,5,No,2,2,2,5,1,Yes,Size mismatch,Yes,Yes,Within a month
41,Female,India,Tier 2,1989.49,Professional,No,5,Casual,Yes,Color only,4,2,1,4,4,Vegan,No,118.21,No,10.6,5,No,3,1,5,3,4,Yes,Long delivery time,Yes,Yes,Immediately
18,Male,India,Tier 2,2138.26,Professional,Yes,6,Boots,No,Full Design,1,1,3,1,2,"Leather, Canvas",Yes,113.38,No,10.0,3,Yes,3,3,3,3,3,Maybe,Poor product information,Yes,Yes,Never
39,Female,UAE,Tier 2,2915.3,Student,Yes,5,Casual,Yes,Sole type,5,3,1,5,3,"Recyclable materials, Leather",Yes,91.38,No,12.7,5,No,5,3,5,3,3,Yes,None of the above,Yes,Yes,Within 3 months
30,Female,Other,Tier 3,5700.05,Self-employed,Yes,5,"Ethnic, Sneakers, Slippers",No,Full Design,2,5,1,1,2,"Leather, Knit, Canvas",No,141.5,No,10.8,1,No,5,3,2,3,4,Yes,Size mismatch,Yes,Yes,Within a month
22,Female,USA,Tier 1,5769.88,Professional,Yes,6,"Formal, Sports, Boots",Yes,Material,3,5,2,3,4,Vegan,Yes,58.07,No,9.3,3,Yes,5,3,3,5,1,Maybe,None of the above,No,Yes,Never
33,Male,Other,Tier 2,301.26,Professional,Yes,0,"Slippers, Ethnic, Formal",No,Sole type,4,3,1,1,4,"Vegan, Knit, Recyclable materials",No,151.04,No,10.0,1,Yes,2,2,3,5,4,No,Size mismatch,No,Yes,Immediately
31,Female,India,Tier 3,2787.6,Professional,Yes,3,Ethnic,Yes,Material,1,1,3,3,1,"Canvas, Vegan, Leather",No,143.51,No,8.7,1,Yes,3,2,3,5,4,Yes,Poor product information,Yes,Yes,Within a month
25,Female,USA,Tier 3,1759.0,Entrepreneur,No,1,"Slippers, Ethnic",No,Full Design,3,5,4,5,5,Recyclable materials,No,143.4,No,7.3,4,Yes,1,4,3,2,5,No,Generic design,Yes,Yes,Within 3 months
30,Male,India,Tier 3,1763.39,Entrepreneur,Yes,6,"Slippers, Sports, Boots",Yes,Full Design,1,1,5,5,2,Leather,Yes,125.53,Yes,11.0,5,Yes,3,1,5,5,5,Yes,Generic design,Yes,Yes,Within a month
26,Male,USA,Tier 1,406.05,Professional,No,1,Casual,Yes,Full Design,2,4,5,3,2,"Canvas, Leather",Yes,181.32,Yes,10.5,5,Yes,3,1,3,5,5,Yes,Generic design,Yes,Yes,Immediately
30,Male,Other,Tier 1,1775.54,Professional,No,7,"Sneakers, Ethnic, Casual",No,Color only,1,5,3,3,3,Vegan,Yes,154.88,No,8.6,5,Yes,2,4,3,1,5,No,Poor product information,Yes,No,Immediately
35,Female,USA,Tier 1,6266.84,Professional,Yes,3,Boots,Yes,Sole type,1,2,3,2,4,"Knit, Vegan, Canvas",No,95.72,Yes,9.4,5,No,3,4,3,4,3,Maybe,Size mismatch,Yes,No,Within a month
42,Female,India,Tier 2,3842.54,Other,Yes,3,"Casual, Sports, Sneakers",Yes,Material,1,2,2,3,3,"Vegan, Leather, Knit",Yes,96.43,No,10.9,3,No,2,3,2,4,5,Maybe,Poor product information,Yes,No,Within a month
20,Female,USA,Tier 1,1067.4,Professional,Yes,3,"Sports, Sneakers",No,Full Design,1,2,5,3,3,"Recyclable materials, Canvas, Vegan",Yes,84.81,No,10.3,2,Yes,5,3,1,3,2,Maybe,Poor product information,No,Yes,Immediately
47,Male,India,Tier 1,261.15,Self-employed,No,3,"Ethnic, Sneakers",Yes,Material,4,1,2,2,2,Knit,No,142.05,No,6.8,1,Yes,2,4,3,4,1,Maybe,Generic design,Yes,Yes,Within a month
14,Male,UAE,Tier 3,874.82,Professional,No,4,"Formal, Sneakers, Slippers",Yes,Material,3,1,2,5,4,Recyclable materials,Yes,79.99,No,9.4,2,Yes,5,5,3,4,4,Maybe,Size mismatch,Yes,Yes,Immediately
28,Female,USA,Tier 1,2826.42,Entrepreneur,No,5,"Boots, Ethnic, Casual",Yes,Material,4,2,3,4,4,Canvas,No,163.34,No,8.7,2,Yes,1,4,2,2,2,Maybe,Poor product information,Yes,No,Within a month
34,Female,USA,Tier 3,2013.47,Entrepreneur,Yes,4,"Slippers, Boots, Sneakers",No,Material,4,4,2,1,1,"Knit, Vegan, Recyclable materials",No,172.92,No,10.7,2,Yes,3,2,2,5,3,Maybe,None of the above,Yes,Yes,Within 3 months
32,Prefer not to say,USA,Tier 1,1122.46,Professional,No,2,"Sneakers, Ethnic",Yes,Color only,3,5,1,5,1,"Leather, Knit, Vegan",Yes,84.84,Yes,10.5,3,No,2,1,2,3,4,No,Size mismatch,Yes,Yes,Within a month
25,Male,USA,Tier 1,285.02,Other,Yes,3,"Casual, Slippers, Formal",Yes,Full Design,1,3,4,3,1,"Canvas, Leather",Yes,112.58,No,11.0,2,Yes,5,5,3,2,1,Yes,Generic design,Yes,Yes,Within a month
28,Female,India,Tier 1,1035.03,Professional,Yes,4,Casual,Yes,Sole type,4,4,4,5,1,Leather,Yes,120.66,Yes,7.3,3,Yes,2,2,1,5,2,Yes,Size mismatch,Yes,Yes,Immediately
26,Male,UK,Tier 2,1149.56,Student,Yes,2,"Formal, Sneakers",Yes,Full Design,2,3,5,3,2,"Leather, Vegan",No,155.36,No,7.8,4,No,4,4,3,3,1,Yes,Size mismatch,Yes,Yes,Immediately
25,Male,India,Tier 1,4158.25,Professional,Yes,3,"Boots, Ethnic, Sneakers",Yes,Full Design,4,2,3,2,1,"Recyclable materials, Leather, Canvas",Yes,184.37,No,10.7,4,No,1,3,2,5,4,Maybe,Generic design,No,Yes,Immediately
36,Female,UK,Tier 1,1737.01,Entrepreneur,No,0,"Sports, Sneakers",Yes,Material,2,1,2,1,1,"Canvas, Leather, Vegan",Yes,52.58,No,8.1,4,No,1,3,4,1,1,No,Poor product information,No,Yes,Within 3 months
32,Female,UAE,Tier 3,760.19,Professional,Yes,8,"Formal, Sneakers",Yes,Sole type,2,5,4,4,4,"Canvas, Leather, Vegan",No,107.27,No,6.7,3,No,2,1,5,1,5,Maybe,Generic design,Yes,Yes,Immediately
24,Prefer not to say,UAE,Tier 1,1317.67,Professional,Yes,4,Casual,Yes,Color only,1,4,1,5,2,"Knit, Recyclable materials",No,109.36,Yes,9.8,3,Yes,2,5,4,1,3,Yes,Long delivery time,Yes,Yes,Immediately
37,Male,USA,Tier 2,302.51,Professional,Yes,3,"Casual, Slippers",Yes,Full Design,2,1,1,5,4,Knit,No,63.97,No,8.2,1,No,3,5,2,5,5,Yes,Long delivery time,Yes,No,Within 3 months
32,Male,USA,Tier 2,5594.08,Professional,No,8,"Ethnic, Casual, Boots",Yes,Material,5,2,2,4,2,Knit,Yes,100.6,Yes,11.7,2,No,5,4,4,5,2,Yes,Long delivery time,Yes,No,Within 3 months
36,Female,India,Tier 1,869.57,Professional,No,5,Boots,Yes,Material,1,2,3,4,4,"Leather, Recyclable materials, Canvas",Yes,137.11,No,9.4,5,Yes,1,3,4,1,4,Maybe,Generic design,Yes,Yes,Within a month
35,Female,UK,Tier 2,1174.75,Professional,Yes,3,Sports,Yes,Material,4,3,5,1,4,"Knit, Leather",Yes,108.85,No,9.2,5,No,4,4,5,5,4,Maybe,Poor product information,Yes,Yes,Within a month
23,Male,India,Tier 1,858.42,Entrepreneur,Yes,5,Ethnic,Yes,Material,2,1,2,1,1,"Recyclable materials, Leather",Yes,58.22,No,8.4,2,No,4,3,1,1,2,Maybe,Poor product information,Yes,Yes,Immediately
25,Male,USA,Tier 2,1920.97,Professional,Yes,1,"Sneakers, Boots",Yes,Material,2,2,1,4,2,"Vegan, Knit",No,234.96,No,11.4,5,No,2,2,5,5,3,Yes,Generic design,Yes,Yes,Immediately
35,Male,India,Tier 1,1828.09,Professional,No,4,Ethnic,Yes,Material,3,3,1,5,1,Vegan,No,130.65,No,9.5,5,No,5,2,4,2,3,Yes,Generic design,Yes,Yes,Within a month
34,Female,India,Tier 2,2084.6,Professional,Yes,3,"Ethnic, Slippers",Yes,Full Design,1,4,4,5,5,"Canvas, Knit, Leather",No,124.47,Yes,8.4,5,No,4,5,4,3,5,Yes,Size mismatch,Yes,No,Immediately
29,Male,USA,Tier 1,668.26,Student,Yes,1,"Sneakers, Sports",Yes,Full Design,5,5,5,1,1,"Leather, Recyclable materials",No,76.08,No,7.8,3,Yes,1,2,2,3,3,Yes,Size mismatch,Yes,No,Immediately
30,Male,India,Tier 2,768.97,Entrepreneur,Yes,3,Casual,Yes,Material,3,3,2,1,5,Recyclable materials,Yes,130.43,No,8.9,3,No,2,4,1,1,3,Maybe,Poor product information,Yes,Yes,Within 3 months
40,Male,UK,Tier 1,400.73,Self-employed,Yes,4,Sneakers,Yes,Material,2,4,1,3,1,Leather,Yes,113.43,No,7.5,3,Yes,3,4,3,1,2,Yes,Size mismatch,Yes,Yes,Within a month
25,Male,India,Tier 1,1798.54,Professional,No,1,"Formal, Casual, Boots",Yes,Full Design,1,1,1,4,3,Canvas,Yes,44.46,No,10.5,2,Yes,1,4,2,2,1,No,Size mismatch,Yes,Yes,Immediately
34,Male,India,Tier 1,260.92,Entrepreneur,Yes,6,"Sneakers, Boots",No,Color only,1,4,2,1,4,Vegan,Yes,77.19,No,6.3,4,No,2,2,3,2,4,No,Generic design,No,Yes,Immediately
28,Female,USA,Tier 1,1565.77,Self-employed,Yes,2,"Casual, Sneakers, Boots",Yes,Full Design,5,2,3,1,1,"Vegan, Canvas",No,151.8,No,8.8,5,Yes,2,3,5,5,4,Yes,Size mismatch,Yes,No,Within a month
28,Male,India,Tier 3,3256.83,Self-employed,Yes,4,"Casual, Ethnic",Yes,Material,4,3,5,2,3,Leather,Yes,197.76,Yes,9.9,1,No,4,2,2,5,5,Yes,Generic design,No,Yes,Immediately
38,Female,India,Tier 1,3522.3,Student,Yes,4,"Casual, Slippers",Yes,Sole type,1,4,5,4,2,"Vegan, Canvas, Recyclable materials",No,134.69,No,9.5,3,Yes,1,5,5,4,1,Maybe,Long delivery time,Yes,Yes,Immediately
36,Male,UK,Tier 3,1094.13,Other,No,6,"Formal, Sports",Yes,Sole type,3,4,4,1,4,Vegan,No,164.12,No,7.9,1,Yes,1,2,2,1,1,Yes,Size mismatch,Yes,Yes,Within 3 months
36,Female,India,Tier 3,1122.35,Professional,Yes,3,"Formal, Casual, Sports",Yes,Sole type,5,3,2,4,5,"Knit, Recyclable materials, Leather",Yes,113.77,No,10.0,5,No,2,4,4,4,4,Maybe,Size mismatch,Yes,Yes,Immediately
40,Female,UAE,Tier 2,320.14,Professional,No,3,"Boots, Ethnic, Formal",Yes,Full Design,2,5,4,4,3,"Knit, Leather, Recyclable materials",Yes,116.54,No,7.7,4,Yes,2,3,5,5,5,Yes,Size mismatch,Yes,Yes,Immediately
30,Female,India,Tier 1,1866.48,Student,No,2,Formal,No,Color only,1,5,1,1,2,"Leather, Canvas, Recyclable materials",Yes,163.64,No,9.0,1,No,5,2,3,2,3,Maybe,Generic design,Yes,No,Within a month
35,Female,India,Tier 1,2782.73,Professional,Yes,7,"Sneakers, Casual, Boots",Yes,Material,2,5,1,3,1,"Leather, Vegan, Recyclable materials",Yes,186.51,Yes,10.0,5,Yes,2,1,3,5,3,Yes,Generic design,Yes,Yes,Within 3 months
27,Male,UK,Tier 2,620.87,Student,Yes,2,"Boots, Casual, Sports",Yes,Sole type,2,1,4,4,3,"Knit, Recyclable materials",No,172.04,No,9.7,5,Yes,4,3,4,4,1,No,Poor product information,No,No,Within 3 months
32,Male,India,Tier 1,1020.46,Professional,Yes,4,Casual,Yes,Full Design,5,1,4,5,4,"Leather, Vegan",Yes,77.35,Yes,8.0,3,Yes,3,1,5,3,2,No,Poor product information,No,Yes,Within 3 months
28,Female,India,Tier 1,2938.03,Professional,No,5,Casual,Yes,Material,5,5,4,2,5,Knit,No,117.32,No,10.8,4,Yes,2,2,4,2,5,Yes,Poor product information,Yes,Yes,Within a month
30,Prefer not to say,India,Tier 2,3344.83,Self-employed,Yes,2,Casual,Yes,Full Design,1,4,2,4,3,Knit,No,131.1,No,9.1,5,Yes,3,3,4,4,4,Yes,Long delivery time,Yes,No,Within 3 months
34,Female,India,Tier 3,617.94,Self-employed,Yes,5,Ethnic,Yes,Material,1,3,5,5,3,"Knit, Canvas, Vegan",Yes,109.61,No,10.1,4,No,5,3,1,4,2,Maybe,Size mismatch,Yes,No,Within 3 months
23,Female,UAE,Tier 2,1399.66,Professional,Yes,5,"Formal, Casual, Sports",Yes,Color only,3,5,2,1,4,"Recyclable materials, Vegan",No,135.51,No,11.3,3,No,1,1,4,2,4,Yes,Long delivery time,Yes,No,Within a month
46,Female,India,Tier 1,520.71,Self-employed,No,3,Boots,Yes,Full Design,3,1,4,4,3,Recyclable materials,No,152.82,Yes,10.7,1,Yes,4,2,1,1,2,Maybe,Generic design,Yes,Yes,Immediately
21,Female,UK,Tier 2,361.18,Self-employed,Yes,4,"Ethnic, Formal",No,Color only,2,2,1,1,5,Canvas,No,160.11,No,10.7,2,Yes,1,5,4,5,5,No,Size mismatch,Yes,Yes,Within 3 months
20,Male,UAE,Tier 1,3830.71,Entrepreneur,Yes,4,"Slippers, Sneakers, Sports",Yes,Sole type,2,1,5,4,1,Vegan,Yes,187.43,Yes,9.3,2,No,5,3,3,5,4,Yes,Generic design,Yes,Yes,Never
39,Female,USA,Tier 1,2776.43,Student,Yes,2,Boots,No,Color only,5,2,4,1,2,Canvas,Yes,106.82,Yes,10.2,2,No,5,5,3,5,4,Yes,Size mismatch,Yes,Yes,Never
36,Prefer not to say,Other,Tier 3,2340.89,Professional,Yes,3,"Sneakers, Slippers",Yes,Material,4,3,2,3,1,"Knit, Leather, Canvas",Yes,65.44,No,9.3,4,No,4,5,4,5,3,Yes,Poor product information,Yes,Yes,Immediately
34,Male,India,Tier 1,274.99,Self-employed,No,3,"Casual, Formal",Yes,Sole type,5,1,2,3,3,Vegan,Yes,134.33,Yes,7.2,2,No,5,1,3,4,4,No,Size mismatch,No,Yes,Never
35,Female,Other,Tier 1,2984.24,Professional,Yes,3,Casual,No,Sole type,4,1,1,2,3,"Knit, Leather, Vegan",No,195.35,No,9.5,1,No,3,1,3,2,1,No,Size mismatch,Yes,No,Within a month
29,Male,India,Tier 1,1064.5,Professional,No,6,"Sports, Slippers",Yes,Material,2,2,3,2,3,"Canvas, Vegan, Recyclable materials",No,100.92,No,9.4,5,No,3,2,5,1,5,Maybe,Poor product information,Yes,Yes,Immediately
22,Female,UK,Tier 3,828.73,Professional,No,1,"Sneakers, Sports",No,Material,2,5,2,2,5,Canvas,No,147.47,No,9.9,4,No,2,4,4,4,5,No,Generic design,Yes,No,Never
30,Male,USA,Tier 2,1386.06,Professional,Yes,2,"Ethnic, Slippers, Sports",Yes,Material,1,3,4,5,1,"Knit, Leather, Vegan",Yes,147.83,No,8.8,1,Yes,1,5,5,4,5,Maybe,None of the above,Yes,Yes,Within 3 months
24,Female,India,Tier 2,343.7,Professional,No,3,Formal,Yes,Material,2,1,5,2,1,Recyclable materials,Yes,127.66,No,7.9,4,Yes,2,3,3,3,4,Yes,Generic design,No,No,Within a month
37,Female,USA,Tier 2,2319.86,Student,Yes,1,"Casual, Sports, Formal",Yes,Full Design,4,3,3,5,2,"Knit, Vegan",No,120.28,No,10.0,4,Yes,4,3,1,3,5,No,Poor product information,Yes,Yes,Within 3 months
28,Male,UK,Tier 1,1509.97,Professional,Yes,6,Boots,Yes,Full Design,2,3,1,2,4,"Leather, Recyclable materials, Knit",Yes,83.06,No,7.0,4,No,3,3,1,4,4,Yes,None of the above,No,Yes,Within a month
23,Female,India,Tier 1,509.78,Self-employed,No,4,"Boots, Slippers",No,Color only,4,2,2,3,5,Vegan,Yes,28.73,Yes,11.2,3,Yes,5,3,2,5,4,Yes,Size mismatch,Yes,Yes,Within a month
27,Female,India,Tier 1,512.81,Self-employed,Yes,3,"Formal, Boots, Sneakers",No,Color only,3,5,4,5,3,Recyclable materials,Yes,75.53,No,8.7,5,No,1,4,4,1,3,Maybe,Size mismatch,No,No,Never
33,Other,UK,Tier 1,505.47,Student,No,9,"Sneakers, Casual",Yes,Full Design,2,5,3,4,5,"Leather, Vegan, Knit",Yes,104.39,No,9.4,2,No,3,4,5,2,5,Maybe,Poor product information,Yes,No,Never
25,Male,UK,Tier 1,288.04,Other,Yes,5,"Sneakers, Casual, Boots",Yes,Sole type,4,4,1,5,3,Canvas,Yes,163.9,No,9.8,3,No,5,4,4,2,2,Yes,Generic design,No,Yes,Immediately
23,Male,Other,Tier 3,1529.36,Professional,No,6,"Sports, Boots, Slippers",Yes,Sole type,5,5,4,4,4,"Knit, Recyclable materials",Yes,115.87,Yes,9.9,5,Yes,2,4,4,5,4,Maybe,Poor product information,Yes,Yes,Immediately
31,Male,UK,Tier 1,2952.14,Professional,Yes,5,Ethnic,Yes,Full Design,4,3,2,1,4,"Knit, Recyclable materials",Yes,99.24,Yes,6.9,2,Yes,3,3,2,4,3,Yes,Generic design,Yes,Yes,Immediately
31,Prefer not to say,Other,Tier 1,226.48,Entrepreneur,Yes,3,Casual,Yes,Material,4,1,4,2,5,"Knit, Canvas",No,84.36,No,10.2,3,Yes,5,1,5,1,5,Maybe,Size mismatch,Yes,Yes,Within 3 months
25,Other,UK,Tier 1,275.37,Self-employed,Yes,4,"Sports, Formal, Ethnic",Yes,Material,1,3,1,2,3,Canvas,Yes,146.27,No,9.5,3,Yes,3,4,1,4,4,Yes,Generic design,Yes,Yes,Within 3 months
26,Female,India,Tier 1,1475.65,Self-employed,No,5,Boots,Yes,Full Design,5,4,1,3,1,Recyclable materials,No,174.33,No,8.0,1,Yes,3,2,2,1,3,Yes,Generic design,No,Yes,Never
31,Female,India,Tier 3,2768.0,Professional,No,7,Formal,Yes,Sole type,5,1,3,2,3,Canvas,Yes,162.54,No,7.9,3,No,4,5,5,1,1,Maybe,Long delivery time,Yes,No,Within a month
18,Female,UK,Tier 1,793.43,Self-employed,Yes,1,Sneakers,No,Color only,1,5,4,4,5,Canvas,No,144.25,No,8.5,4,No,1,3,5,3,3,No,None of the above,Yes,Yes,Within 3 months
18,Female,USA,Tier 1,845.28,Student,No,6,"Ethnic, Boots",No,Color only,1,5,1,3,2,"Vegan, Knit",Yes,60.98,No,7.1,3,No,4,3,3,4,2,No,Generic design,Yes,Yes,Within 3 months
24,Male,India,Tier 2,1560.8,Entrepreneur,Yes,3,"Casual, Sports",No,Material,1,4,4,2,1,"Leather, Knit",Yes,105.93,Yes,11.6,4,No,4,1,2,5,3,No,Poor product information,Yes,Yes,Immediately
28,Female,India,Tier 1,680.75,Entrepreneur,Yes,5,Casual,No,Full Design,2,3,2,3,4,Vegan,Yes,197.89,No,11.2,5,No,2,5,4,4,1,Maybe,Generic design,No,No,Within a month
32,Male,Other,Tier 1,240.45,Professional,No,3,"Casual, Ethnic, Sneakers",Yes,Material,3,1,1,1,1,"Vegan, Knit",No,164.88,Yes,9.7,5,Yes,1,2,3,4,2,No,Size mismatch,Yes,Yes,Within a month
41,Female,USA,Tier 1,2193.33,Professional,No,5,Ethnic,Yes,Color only,5,3,1,2,2,Leather,Yes,58.5,No,8.7,4,Yes,2,2,1,4,1,No,None of the above,Yes,No,Within 3 months
36,Female,USA,Tier 2,1673.85,Self-employed,No,4,Casual,Yes,Full Design,5,3,3,3,5,Knit,Yes,117.78,No,8.7,1,Yes,1,2,5,5,5,Maybe,Long delivery time,Yes,Yes,Within a month
28,Female,USA,Tier 3,1503.95,Student,No,6,"Boots, Ethnic, Formal",No,Color only,3,3,1,3,1,"Recyclable materials, Leather, Vegan",No,134.52,No,10.1,1,No,2,3,4,2,2,Maybe,Poor product information,No,Yes,Within 3 months
29,Male,India,Tier 2,2230.36,Student,Yes,4,"Sports, Boots",No,Color only,1,3,2,4,2,"Canvas, Leather",Yes,89.51,No,11.6,5,No,1,5,2,3,4,Yes,Long delivery time,Yes,No,Immediately
21,Male,India,Tier 1,1886.96,Entrepreneur,No,6,Ethnic,Yes,Material,3,3,2,3,1,"Canvas, Knit, Recyclable materials",Yes,27.63,Yes,8.1,3,No,3,2,2,1,3,No,Poor product information,Yes,Yes,Immediately
29,Male,India,Tier 3,545.78,Professional,Yes,5,Casual,No,Material,5,3,3,2,1,"Leather, Knit, Canvas",Yes,123.95,No,7.3,5,Yes,1,3,5,5,3,No,Size mismatch,No,No,Within 3 months
27,Male,India,Tier 1,851.91,Self-employed,Yes,2,Sports,Yes,Material,2,2,3,1,3,Leather,Yes,88.49,No,11.3,5,No,1,5,2,4,1,Yes,Generic design,Yes,No,Immediately
32,Male,UK,Tier 1,402.2,Professional,Yes,1,Formal,Yes,Full Design,3,3,3,5,4,"Vegan, Canvas",Yes,88.65,No,6.3,4,No,3,4,4,2,1,No,Poor product information,Yes,Yes,Immediately
23,Other,USA,Tier 1,408.65,Student,Yes,1,"Boots, Ethnic",Yes,Full Design,1,5,4,4,4,Vegan,Yes,105.81,No,7.5,1,No,4,1,2,3,4,Yes,None of the above,Yes,Yes,Immediately
34,Female,UAE,Tier 1,1891.42,Self-employed,Yes,3,"Casual, Sneakers, Sports",Yes,Material,5,1,2,4,2,Canvas,No,458.6,No,8.6,4,No,4,4,1,4,1,Yes,Poor product information,Yes,No,Immediately
